"Camera","Species","Events","EffortHours","Lambda","Tau","RelDensity"
1,"unidentified animal",122,253472.379722222,0.000481314769418658,56.9508196721311,8.45141074684461e-06
1,"boar",10,253472.379722222,3.94520302802179e-05,60.3,6.54262525376748e-07
1,"person",9,253472.379722222,3.55068272521961e-05,54.8888888888889,6.46885516740415e-07
1,"deer",7,253472.379722222,2.76164211961525e-05,54,5.11415207336158e-07
1,"bird",4,253472.379722222,1.57808121120872e-05,45,3.50684713601937e-07
1,"beaver",3,253472.379722222,1.18356090840654e-05,60,1.97260151401089e-07
1,"dog",3,253472.379722222,1.18356090840654e-05,60,1.97260151401089e-07
1,"raccoon",3,253472.379722222,1.18356090840654e-05,60,1.97260151401089e-07
1,"coyote",2,253472.379722222,7.89040605604358e-06,60,1.31506767600726e-07
1,"bobcat",1,253472.379722222,3.94520302802179e-06,60,6.57533838003632e-08
1,"corvid",1,253472.379722222,3.94520302802179e-06,60,6.57533838003632e-08
1,"other",1,253472.379722222,3.94520302802179e-06,60,6.57533838003632e-08
1,"rodent",1,253472.379722222,3.94520302802179e-06,60,6.57533838003632e-08
1,"skunk",1,253472.379722222,3.94520302802179e-06,60,6.57533838003632e-08
2,"unidentified animal",49,183123.313055556,0.000267579256744522,53.5918367346939,4.99291073133343e-06
2,"boar",13,183123.313055556,7.09904150546691e-05,43.4615384615385,1.63340778001894e-06
2,"bird",14,183123.313055556,7.64512162127206e-05,54.7857142857143,1.39545896607313e-06
2,"person",13,183123.313055556,7.09904150546691e-05,53.3076923076923,1.33171052772107e-06
2,"raccoon",10,183123.313055556,5.46080115805147e-05,54.9,9.94681449554002e-07
2,"deer",10,183123.313055556,5.46080115805147e-05,55,9.9287293782754e-07
2,"vehicle",1,183123.313055556,5.46080115805147e-06,6,9.10133526341912e-07
2,"coyote",7,183123.313055556,3.82256081063603e-05,52.4285714285714,7.29098792219406e-07
2,"other",6,183123.313055556,3.27648069483088e-05,60.6666666666667,5.40079235411684e-07
2,"dog",5,183123.313055556,2.73040057902574e-05,60,4.55066763170956e-07
2,"rodent",5,183123.313055556,2.73040057902574e-05,60,4.55066763170956e-07
2,"rabbit",4,183123.313055556,2.18432046322059e-05,54.5,4.00792745545062e-07
2,"skunk",2,183123.313055556,1.09216023161029e-05,37,2.95178440975755e-07
2,"corvid",2,183123.313055556,1.09216023161029e-05,60,1.82026705268382e-07
2,"squirrel",1,183123.313055556,5.46080115805147e-06,33,1.65478822971257e-07
2,"human",1,183123.313055556,5.46080115805147e-06,60,9.10133526341912e-08
3,"unidentified animal",76,215962.537222222,0.000351912887195788,58.9078947368421,5.97395117866425e-06
3,"bird",37,215962.537222222,0.000171326010871634,58.3783783783784,2.93475111215298e-06
3,"coyote",30,215962.537222222,0.000138912981787811,60,2.31521636313018e-06
3,"rabbit",16,215962.537222222,7.40869236201658e-05,60,1.2347820603361e-06
3,"person",10,215962.537222222,4.63043272626036e-05,48.6,9.5276393544452e-07
3,"bobcat",8,215962.537222222,3.70434618100829e-05,60,6.17391030168049e-07
3,"boar",6,215962.537222222,2.77825963575622e-05,47.5,5.84896765422362e-07
3,"raccoon",4,215962.537222222,1.85217309050415e-05,49.25,3.76075754417086e-07
3,"squirrel",4,215962.537222222,1.85217309050415e-05,60,3.08695515084024e-07
3,"opossum",3,215962.537222222,1.38912981787811e-05,60,2.31521636313018e-07
3,"deer",2,215962.537222222,9.26086545252073e-06,60,1.54347757542012e-07
3,"human",2,215962.537222222,9.26086545252073e-06,60,1.54347757542012e-07
3,"corvid",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
3,"cougar",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
3,"cow",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
3,"dog",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
3,"other",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
3,"reptile",1,215962.537222222,4.63043272626037e-06,60,7.71738787710061e-08
5,"unidentified animal",375,93959.8644444445,0.0039910657834306,49.688,8.032252824486e-05
5,"coyote",199,93959.8644444445,0.00211792557574051,43.4472361809045,4.87470725852835e-05
5,"deer",167,93959.8644444445,0.00177735462888776,50.1377245508982,3.54494473933186e-05
5,"raccoon",129,93959.8644444445,0.00137292662950013,46.953488372093,2.924014119292e-05
5,"boar",92,93959.8644444445,0.000979141472201641,40.5760869565217,2.41309979755025e-05
5,"bird",86,93959.8644444445,0.000915284419666752,50.6046511627907,1.80869623371647e-05
5,"other",61,93959.8644444445,0.000649213367438045,52.9836065573771,1.22530988285027e-05
5,"person",17,93959.8644444445,0.000180928315515521,18.5294117647059,9.76438528179001e-06
5,"dog",39,93959.8644444445,0.000415070841476783,53.7179487179487,7.72685576018832e-06
5,"rodent",38,93959.8644444445,0.000404427999387635,52.9210526315789,7.64210043596724e-06
5,"corvid",21,93959.8644444445,0.000223499683872114,41.4761904761905,5.3886261323931e-06
5,"bobcat",23,93959.8644444445,0.00024478536805041,50.1304347826087,4.88296918053724e-06
5,"fox",23,93959.8644444445,0.00024478536805041,53.3478260869565,4.58847878171103e-06
5,"rabbit",21,93959.8644444445,0.000223499683872114,54.5714285714286,4.09554394530052e-06
5,"beaver",14,93959.8644444445,0.000148999789248076,43.9285714285714,3.39186512109441e-06
5,"human",12,93959.8644444445,0.000127714105069779,60,2.12856841782966e-06
5,"opossum",10,93959.8644444445,0.000106428420891483,54.1,1.96725362091465e-06
5,"cougar",8,93959.8644444445,8.51427367131862e-05,53.875,1.58037562344661e-06
5,"cow",2,93959.8644444445,2.12856841782966e-05,56.5,3.76737773067196e-07
5,"skunk",2,93959.8644444445,2.12856841782966e-05,60,3.54761402971609e-07
5,"squirrel",2,93959.8644444445,2.12856841782966e-05,60,3.54761402971609e-07
5,"weasel",1,93959.8644444445,1.06428420891483e-05,60,1.77380701485805e-07
6,"raccoon",237,253495.068055556,0.00093492943203163,49.4599156118143,1.89027704650654e-05
6,"unidentified animal",114,253495.068055556,0.000449712891356987,51.8070175438597,8.68054006344336e-06
6,"rabbit",104,253495.068055556,0.000410264392115146,58.0480769230769,7.06766552591936e-06
6,"bird",80,253495.068055556,0.000315587993934728,55.7125,5.66458144823383e-06
6,"boar",62,253495.068055556,0.000244580695299414,43.6290322580645,5.60591612146531e-06
6,"coyote",65,253495.068055556,0.000256415245071966,52.4461538461538,4.88911438242235e-06
6,"person",15,253495.068055556,5.91727488627614e-05,25.7333333333333,2.29945915269798e-06
6,"deer",24,253495.068055556,9.46763981804183e-05,50.7916666666667,1.86401440223957e-06
6,"bobcat",24,253495.068055556,9.46763981804183e-05,52.9166666666667,1.78916028057483e-06
6,"rodent",16,253495.068055556,6.31175987869455e-05,59,1.06978980994823e-06
6,"other",15,253495.068055556,5.91727488627614e-05,60,9.86212481046024e-07
6,"opossum",9,253495.068055556,3.55036493176568e-05,60,5.91727488627614e-07
6,"dog",4,253495.068055556,1.57793996967364e-05,56.25,2.80522661275313e-07
6,"corvid",3,253495.068055556,1.18345497725523e-05,43.3333333333333,2.73104994751207e-07
6,"beaver",2,253495.068055556,7.88969984836819e-06,60,1.31494997472803e-07
6,"cougar",2,253495.068055556,7.88969984836819e-06,60,1.31494997472803e-07
6,"squirrel",2,253495.068055556,7.88969984836819e-06,60,1.31494997472803e-07
6,"cat",1,253495.068055556,3.94484992418409e-06,60,6.57474987364016e-08
6,"fox",1,253495.068055556,3.94484992418409e-06,60,6.57474987364016e-08
6,"reptile",1,253495.068055556,3.94484992418409e-06,60,6.57474987364016e-08
6,"skunk",1,253495.068055556,3.94484992418409e-06,60,6.57474987364016e-08
7,"unidentified animal",601,235962.755277778,0.00254701213033598,75.1830282861897,3.38774878904929e-05
7,"coyote",195,235962.755277778,0.000826401606348612,60.1282051282051,1.37439926002541e-05
7,"bird",197,235962.755277778,0.00083487752025988,61.0761421319797,1.36694540800529e-05
7,"corvid",116,235962.755277778,0.000491603006853533,56.8965517241379,8.64029527197119e-06
7,"other",84,235962.755277778,0.000355988384273248,50.4166666666667,7.06092663021319e-06
7,"person",70,235962.755277778,0.000296656986894374,54.7571428571429,5.41768564638825e-06
7,"raccoon",33,235962.755277778,0.000139852579535919,35.0909090909091,3.98543620439147e-06
7,"rodent",55,235962.755277778,0.000233087632559865,58.6,3.97760465119223e-06
7,"deer",50,235962.755277778,0.000211897847781695,60.44,3.50592071114652e-06
7,"bobcat",40,235962.755277778,0.000169518278225356,56.025,3.02576132486134e-06
7,"rabbit",15,235962.755277778,6.35693543345086e-05,55.1333333333333,1.1530112636247e-06
7,"dog",15,235962.755277778,6.35693543345086e-05,60,1.05948923890848e-06
7,"squirrel",11,235962.755277778,4.6617526511973e-05,60,7.7695877519955e-07
7,"beaver",4,235962.755277778,1.69518278225356e-05,31.25,5.4245849032114e-07
7,"human",6,235962.755277778,2.54277417338034e-05,50.1666666666667,5.06865283730301e-07
7,"fox",6,235962.755277778,2.54277417338034e-05,60,4.23795695563391e-07
7,"boar",5,235962.755277778,2.11897847781695e-05,51.4,4.12252622143376e-07
7,"skunk",3,235962.755277778,1.27138708669017e-05,60,2.11897847781695e-07
7,"cougar",2,235962.755277778,8.47591391126782e-06,60,1.41265231854464e-07
7,"opossum",2,235962.755277778,8.47591391126782e-06,60,1.41265231854464e-07
7,"vehicle",2,235962.755277778,8.47591391126782e-06,60,1.41265231854464e-07
8,"unidentified animal",436,265886.120555556,0.00163979977250787,53.9036697247706,3.04209301682168e-05
8,"raccoon",359,265886.120555556,0.00135020210626221,44.7966573816156,3.01406887295196e-05
8,"rabbit",329,265886.120555556,0.00123737184668598,48.2553191489362,2.56421855353797e-05
8,"boar",233,265886.120555556,0.00087631501604205,44.7982832618026,1.95613526286451e-05
8,"bird",182,265886.120555556,0.000684503574762459,50.3681318681319,1.35900131566235e-05
8,"coyote",158,265886.120555556,0.000594239367101476,46.2911392405063,1.28370002737262e-05
8,"bobcat",61,265886.120555556,0.000229421527805,31.5409836065574,7.27375945743503e-06
8,"beaver",78,265886.120555556,0.000293358674898197,54.7307692307692,5.3600320079783e-06
8,"deer",66,265886.120555556,0.000248226571067705,49.8939393939394,4.97508463117781e-06
8,"rodent",75,265886.120555556,0.000282075648940574,57.92,4.870090623974e-06
8,"opossum",49,265886.120555556,0.000184289423974508,40.6938775510204,4.52867691812984e-06
8,"other",55,265886.120555556,0.000206855475889754,49.4909090909091,4.17966611827203e-06
8,"person",34,265886.120555556,0.000127874294186393,35.3235294117647,3.62008826172971e-06
8,"corvid",43,265886.120555556,0.000161723372059262,55.8604651162791,2.89513114011169e-06
8,"dog",23,265886.120555556,8.65031990084427e-05,37.5652173913044,2.3027471958266e-06
8,"skunk",21,265886.120555556,7.89811817033607e-05,44.6190476190476,1.77012253550755e-06
8,"human",6,265886.120555556,2.25660519152459e-05,50.6666666666667,4.4538260359038e-07
8,"fox",7,265886.120555556,2.63270605677869e-05,60,4.38784342796448e-07
8,"weasel",4,265886.120555556,1.50440346101639e-05,60,2.50733910169399e-07
8,"squirrel",3,265886.120555556,1.1283025957623e-05,60,1.88050432627049e-07
8,"cougar",2,265886.120555556,7.52201730508197e-06,60,1.253669550847e-07
8,"reptile",2,265886.120555556,7.52201730508197e-06,60,1.253669550847e-07
8,"cat",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
8,"cow",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
8,"raptor",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
11,"unidentified animal",136,264409.674444444,0.000514353343105739,51.4044117647059,1.00060155431813e-05
11,"raccoon",72,264409.674444444,0.000272304711055979,46,5.91966763165173e-06
11,"bird",82,264409.674444444,0.000310124809813754,54.0731707317073,5.73528065059266e-06
11,"coyote",57,264409.674444444,0.000215574562919317,46.4912280701754,4.63688682505701e-06
