"Species","TotalEvents","TotalEffort","MeanTau","LambdaOverall","RelDensityOverall"
"unidentified animal",3076,2491324.12166667,55.3237574875085,0.00123468479000725,2.23174427421353e-05
"raccoon",1350,2491324.12166667,46.5362601853213,0.000541880515770411,1.16442643567077e-05
"coyote",1108,2491324.12166667,51.2439425244843,0.000444743415906382,8.67894611531664e-06
"bird",990,2491324.12166667,52.4621177857963,0.000397379044898302,7.57459023138957e-06
"boar",751,2491324.12166667,45.6590839250969,0.000301446123958207,6.60210626329527e-06
"rabbit",663,2237851.74194444,52.7151564570182,0.000296266275184042,5.62013460826215e-06
"deer",681,2491324.12166667,52.0972253069821,0.000273348615733074,5.24689393959796e-06
"rodent",402,2275361.58444444,56.8936481203008,0.000176675216259377,3.1053592465331e-06
"person",247,2491324.12166667,40.2869959168425,9.9144064737253e-05,2.46094459219295e-06
"other",320,2491324.12166667,55.0997966155939,0.00012844575188632,2.33114747741134e-06
"bobcat",256,2308200.80861111,49.2272479848232,0.000110908894514269,2.25299806620232e-06
"corvid",273,2491324.12166667,53.5069393246914,0.000109580282078016,2.0479639362861e-06
"dog",163,2491324.12166667,55.2686190423542,6.54270548670941e-05,1.1838011515532e-06
"beaver",112,1897500.82861111,52.3815247252747,5.90250071627e-05,1.12682873345647e-06
"opossum",108,2054728.42888889,52.0538170823885,5.25616906261437e-05,1.00975670127997e-06
"human",99,1984356.67388889,56.7534113060429,4.98902245260085e-05,8.79070057251278e-07
"fox",59,1574356.21722222,57.5318322981366,3.74756356627466e-05,6.51389572794128e-07
"skunk",58,2275361.58444444,53.9092124542125,2.54904540871737e-05,4.72840409398003e-07
"squirrel",45,2043114.29916667,56.5740740740741,2.20251994802025e-05,3.89316128291632e-07
"cougar",25,1524432.63388889,59.125,1.63995439642511e-05,2.77370722439766e-07
"vehicle",5,947924.588333333,32.75,5.27468119462028e-06,1.61058967774665e-07
"weasel",6,624255.659444444,60,9.61144670332615e-06,1.60190778388769e-07
"cow",5,841694.642777778,59.125,5.94039660689641e-06,1.00471824218121e-07
"reptile",10,1724805.80916667,60,5.79775412794526e-06,9.66292354657543e-08
"cat",3,783810.034166667,60,3.82745801817854e-06,6.37909669696423e-08
"raptor",2,531772.241111111,60,3.76100865254099e-06,6.26834775423498e-08
